GraduatedYr,gender,AgeGrad,Nationality,EntryChannel,CGPA,YearEntry,YearGrad,jobassurance,JobStatusCategory,JobIncomeCategory,Cluster
2023,0,-0.872004391042249,0,7,3.71,2019,2023,3,0,0,0
2023,1,-0.872004391042249,0,7,3.61,2019,2023,3,2,0,0
2023,0,-0.872004391042249,0,2,3.64,2019,2023,4,1,0,0
2023,1,0.1841510326095349,0,3,3.29,2019,2023,1,1,0,0
2023,0,-0.872004391042249,0,7,3.35,2019,2023,1,1,0,0
2023,0,-0.872004391042249,0,7,3.63,2019,2023,6,2,0,0
2023,0,-0.872004391042249,0,7,3.41,2019,2023,3,2,0,0
2023,0,-0.872004391042249,0,7,3.64,2019,2023,6,2,0,0
2023,1,-0.872004391042249,0,7,3.11,2019,2023,2,0,0,0
2023,0,1.7683841680872108,0,4,3.27,2017,2023,3,0,0,0
2023,0,-0.872004391042249,0,7,3.34,2019,2023,3,2,0,0
2023,0,-0.872004391042249,0,7,3.62,2019,2023,3,0,0,0
2023,1,-0.872004391042249,0,2,3.49,2019,2023,4,1,0,0
2023,1,-0.343926679216357,0,7,3.31,2018,2023,3,2,0,0
2023,1,-0.872004391042249,0,7,3.73,2019,2023,3,0,0,0
2023,1,-0.872004391042249,0,2,3.55,2019,2023,3,2,0,0
2023,0,-0.872004391042249,0,7,3.74,2019,2023,3,2,0,0
2023,0,-0.343926679216357,0,11,3.65,2019,2023,3,0,0,2
2023,0,-0.872004391042249,0,2,3.73,2019,2023,3,2,0,0
2023,0,-0.343926679216357,0,7,3.59,2018,2023,3,2,0,0
2023,0,-0.872004391042249,0,2,3.59,2019,2023,3,3,0,0
2023,0,-0.343926679216357,0,7,3.35,2018,2023,3,0,0,0
2023,0,-0.872004391042249,0,7,3.2,2019,2023,3,0,0,0
2023,1,-0.872004391042249,0,7,3.0,2019,2023,3,2,0,0
2023,0,0.7122287444354268,0,3,3.41,2019,2023,3,0,0,0
2023,0,-0.872004391042249,0,2,3.58,2019,2023,3,3,0,0
2023,1,0.1841510326095349,1,6,3.29,2019,2023,3,0,0,0
2023,1,-0.872004391042249,0,2,3.35,2019,2023,3,0,0,0
2023,0,-0.872004391042249,0,7,3.65,2019,2023,3,3,0,0
