GraduatedYr,FacName,FacName.1,gender,AgeGrad,Nationality,EntryChannel,MUET,Program,CGPA,YearEntry,YearGrad,Status,JobGroup,jobassurance,JobStatusCategory,JobNumber,JobIncomeCategory
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 4,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,0.4769390987462012,2019,2023,52,Pekerjaan Asas,6,2,-2,0
2023,FSKTM,Fac1,1,-0.8720043910422491,0,7,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),-1.2926504186437868,2019,2023,Bekerja sepenuh masa,Juruteknik dan Profesional Bersekutu,2,0,11,0
2023,FSKTM,Fac1,0,1.7683841680872106,0,4,Band 5,BACELOR KEJURUTERAAN PERISIAN,-0.7584347152807714,2017,2023,Bekerja sepenuh masa,Profesional,3,0,Pertama,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),-0.5247153450594528,2019,2023,52,Profesional,3,2,Pertama,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,0.4101621358258243,2019,2023,52,Profesional,3,0,Pertama,0
2023,FSKTM,Fac1,1,-0.8720043910422491,0,2,Band 4,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,-0.023888123156625085,2019,2023,Bekerja sepenuh masa,Profesional,4,1,-2,0
2023,FSKTM,Fac1,1,-0.34392667921635717,0,7,Band 4,BACELOR KEJURUTERAAN PERISIAN,-0.6248807894400176,2018,2023,52,Profesional,3,2,Pertama,0
2023,FSKTM,Fac1,1,-0.8720043910422491,0,7,Band 4,BACELOR KEJURUTERAAN PERISIAN,0.7774354318878967,2019,2023,52,Profesional,3,0,Pertama,0
2023,FSKTM,Fac1,1,-0.8720043910422491,0,2,Band 3,BACELOR KEJURUTERAAN PERISIAN,0.17644276560450425,2019,2023,52,Profesional,3,2,Pertama,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),0.8108239133480859,2019,2023,52,Juruteknik dan Profesional Bersekutu,3,2,Pertama,0
2023,FSKTM,Fac1,0,-0.34392667921635717,0,11,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),0.5103275802063889,2019,2023,52,Profesional,3,0,Pertama,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,2,Band 4,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,0.7774354318878967,2019,2023,52,Profesional,3,2,Pertama,0
2023,FSKTM,Fac1,0,-0.34392667921635717,0,7,Band 4,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,0.3099966914452581,2018,2023,52,Profesional,3,2,Pertama,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,2,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,0.3099966914452581,2019,2023,52,Profesional,3,3,Pertama,0
2023,FSKTM,Fac1,0,-0.34392667921635717,0,7,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,-0.49132686359926364,2018,2023,Bekerja sepenuh masa,Pekerja Sokongan Perkeranian,3,0,Pertama,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),-0.9921540855020899,2019,2023,52,Profesional,3,0,Pertama,0
2023,FSKTM,Fac1,1,-0.8720043910422491,0,7,Band 4,BACELOR KEJURUTERAAN PERISIAN,-1.6599237147058594,2019,2023,Bekerja sepenuh masa,Juruteknik dan Profesional Bersekutu,3,2,Pertama,0
2023,FSKTM,Fac1,0,0.7122287444354267,0,3,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),-0.29099597483813283,2019,2023,52,Profesional,3,0,Pertama,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,2,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,0.2766082099850704,2019,2023,52,Pekerja Perkhidmatan dan Jualan,3,3,Pertama,0
2023,FSKTM,Fac1,1,0.18415103260953475,1,6,Band 2,BACELOR KEJURUTERAAN PERISIAN,-0.6916577523603945,2019,2023,52,Profesional,3,0,Pertama,0
2023,FSKTM,Fac1,1,-0.8720043910422491,0,2,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),-0.49132686359926364,2019,2023,52,Juruteknik dan Profesional Bersekutu,3,0,Pertama,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),0.5103275802063889,2019,2023,52,Profesional,3,3,Pertama,0
2023,FSKTM,Fac1,1,-0.8720043910422491,0,2,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,0.6104930245869551,2019,2023,52,Profesional,3,0,Pertama,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,-0.023888123156625085,2019,2023,52,Profesional,3,2,Pertama,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),-0.6248807894400176,2019,2023,52,Juruteknik dan Profesional Bersekutu,3,2,Pertama,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 4,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,-0.324384456298322,2019,2023,Bekerja sepenuh masa,Profesional,1,1,-2,0
2023,FSKTM,Fac1,0,-0.34392667921635717,0,7,Band 4,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,0.009500358303562642,2018,2023,Melanjutkan pengajian (SKPG 2.0),-2,3,1,-2,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,2,Band 3,BACELOR KEJURUTERAAN PERISIAN,0.744046950427709,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 3,BACELOR KEJURUTERAAN PERISIAN,0.5103275802063889,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,1,-0.8720043910422491,1,6,Band 4,BACELOR KEJURUTERAAN PERISIAN,0.443550617286012,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,1,-0.8720043910422491,0,7,Band 5,BACELOR KEJURUTERAAN PERISIAN,0.1430542841443165,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,1,-0.34392667921635717,1,6,Band 3,BACELOR KEJURUTERAAN PERISIAN,0.1096658026841273,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,1,-0.8720043910422491,0,2,Band 3,BACELOR KEJURUTERAAN PERISIAN,-0.057276604616814296,2019,2023,Bekerja sepenuh masa,Pengurus,5,1,-2,0
2023,FSKTM,Fac1,1,-1.400082102868141,1,6,Band 3,BACELOR KEJURUTERAAN PERISIAN,-0.2242190119177559,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,1,-0.8720043910422491,0,7,Band 5,BACELOR KEJURUTERAAN PERISIAN,-0.4245499006788867,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,1,-0.8720043910422491,0,7,Band 4,BACELOR KEJURUTERAAN PERISIAN,-0.5247153450594528,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,1,0.18415103260953475,1,6,Band 4,BACELOR KEJURUTERAAN PERISIAN,-1.125708011342844,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,1,-0.34392667921635717,1,6,Band 5,BACELOR KEJURUTERAAN PERISIAN,-1.2926504186437868,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,0,-0.34392667921635717,0,7,Band 3,BACELOR KEJURUTERAAN PERISIAN,-1.4595928259447286,2018,2023,Belum/Tidak bekerja,-2,3,1,-2,0
